1,Hokkaido,,北海道,北海道,,1
2,Hokkaido,1,北海道,北海道,,1
11,Furano/Biei,1/2,富良野,富良野,,1
49,Otaru/Niseko,1/2,小樽/二世古,小樽/二世古,,1
50,Tokachi,1/2,十勝,十胜,12,1
12,Hakodate,1/2,函館,函馆,15,1
14,Kushiro,1/2,釧路,钏路,11,1
25,Sapporo,1/2,札幌,札幌,4,1
26,Others,1/2,其它,其它,,1
30,Tohoku,,東北,东北,,,
31,Aomori,30,青森縣,青森县,17,2
40,Iwate,30,岩手縣,岩手县,,3
46,Miyagi,30,宮城縣,宮城县,,4
47,Sendai,30/46,仙台,仙台,25,4
48,Others,30/46,其它,其它,,
54,Akita,30,秋田縣,秋田县,20,5
65,Yamagata,30,山形縣,山形县,27,6
74,Fukushima,30,福島縣,福岛县,31,7
84,Kanto,,關東,关东,,,
85,Ibaraki,84,茨城縣,茨城县,,8
93,Tochigi,84,栃木縣,枥木县,,9
101,Gunma,84,群馬縣,群马县,,10
110,Saitama,84,埼玉縣,埼玉县,40,11
116,Chiba,84,千葉縣,千叶县,47,12
125,Tokyo,84,東京都,东京都,43,13
126,Akihabara,84/125,秋葉原,秋叶原,43,13
127,Asakusa,84/125,淺草,浅草,43,13
129,Ebisu/Daikanyama/Nakameguro,84/125,惠比壽/代官山/中目黑,惠比寿/代官山/中目黑,43,13
130,Ginza,84/125,銀座,银座,43,13
552,Shinagawa,84/125,,43,13
500,Nihonbashi,84/125,日本橋,日本桥,43,13
131,Haneda,84/125,羽田機場,羽田机场,43,13
132,Harajuku/Omotesando/Aoyama,84/125,原宿/表參道/青山,原宿/表参道/青山,43,13
133,Ikebukuro,84/125,池袋,池袋,43,13
134,Izu Shichito Islands,84/125,伊豆七島,伊豆七岛,44,13
137,Mt. Takao-san,84/125,高尾山,高尾山,43,13
138,Odaiba,84/125,台場,台场,43,13
139,Ogasawara Islands,84/125,小笠原諸島,小笠原诸岛,46,13
140,Okutama,84/125,奧多摩湖,奥多摩湖,,13
141,Roppongi,84/125,六本木,六本木,43,13
501,Akasaka,84/125,赤坂,赤坂,43,13
142,Ryogoku,84/125,兩國,两国,43,13
144,Shibuya,84/125,澀谷,涩谷,43,13
145,Shimokitazawa,84/125,下北澤,下北泽,43,13
146,Shinjuku,84/125,新宿,新宿,43,13
147,The Imperial Palace,84/125,皇居,皇居,43,13
148,Tsukiji,84/125,築地,筑地,43,13
149,Ueno,84/125,上野,上野,43,13
502,Tokyo station/Marunouchi,84/125,東京車站/丸之內,东京车站/丸之內,43,13
150,Western Tokyo,84/125,西東京,西东京,43,13
151,Yanaka/Nezu/Sendagi,84/125,谷中/根津/千駄木,谷中/根津/千驮木,43,13
503,Others,84/125,其它,其它,43,13
152,Kanagawa,84,神奈川縣,神奈川县,50,14
155,Enoshima Island,84/152,江之島,江之岛,,14
550,Kamakura,84/152,鎌倉,镰仓,,14
156,Hakone,84/152,箱根,箱根,,14
159,Kawasaki,84/152,川崎,川崎,,14
165,Odawara,84/152,小田原,小田原,,14
169,Yugawara,84/152,湯河原,汤河原,,14
504,Yokohama,84/152,橫濱,横滨,50,14
505,Others,84/152,其它,其它,,14
170,Chubu,,中部,中部,,
171,Niigata,170,新潟縣,新泻县,67,15
182,Toyama,170,富山縣,富山县,71,16
188,Ishikawa,170,石川縣,石川县,,17
191,Kanazawa,170/188,金澤,金泽,73,17
506,Others,170,其它,其它,,17
194,Fukui,170,福井縣,福井县,75,18
199,Yamanashi,170,山梨縣,山梨县,,19
205,Nagano,170,長野縣,长野县,52,20
226,Gifu,170,岐阜縣,岐阜县,63,21
238,Shizuoka,170,靜岡縣,静冈县,57,22
253,Aichi,170,愛知縣,爱知县,,23
254,Nagoya,170/253,名古屋,名古屋,61,23
263,Kansai,,關西,关西,,
264,Mie,263,三重縣,三重县,,24
274,Shiga,263,滋賀縣,滋贺县,,25
282,Kyoto,263,京都府,京都府,79,26
507,Kawaramachi,263,河原町,河原町,,河原町・木屋町・先斗町,,
508,Gion/Kiyomizu/Higashiyama,263,祇園/清水/東山,祇园/清水/东山,,祇園・清水・東山,,
509,Shijokarasuma,263,四条烏丸,四条乌丸,,四条烏丸～五条、西院,,
510,Oike/Gosho/Nijo-jo,263,御池/御所/二条城,御池/御所/二条城,,御池・御所・二条城,,
511,Okazaki/Ginkaku-ji,263,岡崎/銀閣寺,冈崎/银阁寺,,岡崎～銀閣寺,,
512,Shimogamo/Demachiyanagi,263,下鴨/出町柳,下鸭/出町柳,,下鴨・出町柳・北白川,,
513,Kuramakifune/Ohara,263,鞍馬貴船/大原,鞍马柜船/大原,,北山・鞍馬貴船・大原,,
514,Nishijin/Kitanotenmangu,263,西陣/北野天満宮,西陣/北野天满宫,,西陣・北野天満宮,,
515,Arashiyama/Sagano,263,嵐山/嵯峨野,岚山/嵯峨野,,嵐山・嵯峨野,,
516,Kyoto station/Higashiyama Shichijo,263,京都車站/東山七条,京都车站/东山七条京都駅・東山七条,79,26
517,Uji,263,宇治,宇治,,
518,Fushimi/Yamashina,263,伏見/山科,伏见/山科,,伏見・山科・宇治ほか,55,19
519,Others,263,其它,其它,,
299,Osaka,263,大阪府,大阪府,81,27
303,Namba,263/299,難波,难波,,27
305,Osaka Catsle,263/299,大阪城,大阪城,81,27
307,Shinsaibashi,263/299,心齋橋,心斋桥,,
308,Bay Area,263/299,海濱地區,海滨地区,,
309,Tennoji / Abeno,263/299,天王寺,天王寺,,
310,Umeda,263/299,梅田,梅田,,
520,Others,263/299,其它,其它,,
311,Hyogo,263,兵庫縣,兵库县,,
312,Awaji Island,263/312,淡路島,淡路岛,,
315,Himeji,263/312,姬路,姬路,,
316,Kinosaki,263/312,城崎,城崎,,
317,Kobe,263/312,神戸,神户,82,28
318,Others,263/312,其它,其它,,
320,Nara,263,奈良縣,奈良县,84,29
338,Wakayama,263,和歌山縣,和歌山县,86,30
349,Chugoku,,中国,中国,,
350,Tottori,349,鳥取縣,鸟取县,95,31
357,Shimane,349,島根縣,岛根县,92,32
367,Okayama,349,岡山縣,冈山县,88,33
377,Hiroshima,349,廣島縣,广岛县,90,34
383,Yamaguchi,349,山口縣,山口县,197,35
391,Shikoku,,四國,四国,,
392,Tokushima,391,德島縣,德岛县,97,36
398,Kagawa,391,香川縣,香川县,99,37
405,Ehime,391,愛媛縣,爱媛县,100,38
413,Kochi,391,高知縣,高知县,103,39
419,Kyushu,,九州,九州,111,40
420,Fukuoka,419,福岡縣,福冈县,110,40
423,Hakata,419/420,博多,博多,,
425,Kita-Kyushu,419/420,北九州,北九州,111,40
426,Others,419/420,其它,其它,,
430,Saga,419,佐賀縣,佐贺县,,
435,Nagasaki,419,長崎縣,长崎县,118,42
447,Kumamoto,419,熊本縣,熊本县,124,43
454,Oita,419,大分縣,大分县,114,44
464,Miyazaki,419,宮崎縣,宫崎县,128,45
472,Kagoshima,419,鹿兒島縣,鹿儿岛县,133,46
473,Amamioshima Island,419/472,奄美大島,奄美大岛,,
480,Yaku-shima Island,419/472,屋久島,屋久岛,135,46
481,Others,419/472,其它,其它,,
482,Okinawa,419,沖繩縣,冲绳县,,47
484,Ishigaki-jima Island,419/482,石垣島,石垣岛,141,47
485,Kerama-jima Islands,419/482,慶良間諸島,庆良间诸岛,137,47
486,Miyako-jima Island,419/482,宮古島,宫古岛,140,47
487,Naha,419/482,那霸,那霸,136,47
488,Iriomote-jima Island,419/482,西表島,西表岛,136,47
490,Yae-yama Islands,419/482,八重山諸島,八重山诸岛,142,47
491,Others,419/482,其它,其它,,47
