id,name_id
1,nasional
2,hokkaido
3,kanto
4,chubu
5,kansai
6,chugoku
7,shikoku
8,kyushu
9,jepang timur
10,jepang barat
11,hokuriku
12,tohoku
13,kamui kotan
14,tokachi
15,niseko
16,asahikawa
17,susukino
18,wakkanai
19,muroran
20,sapporo
21,noboribetsu
22,otaru
23,furano
24,biei
25,abashiri
26,chitose
27,obihiro
28,yamagata
29,morioka
30,zao
31,hirosaki
32,yokote
33,iwaki
34,matsushima
35,kakunodate
36,aizu
37,aomori
38,iwate
39,fukushima
40,akita
41,sendai
42,hachinohe
43,miyagi
44,shonan
45,hakone
46,chiyoda
47,kannai
48,ginza
49,shinagawa
50,akasaka
51,akihabara
52,aoyama
53,bashamichi
54,asakusa
55,nishijima
56,hachioji
57,chiba
58,iidabashi
59,sangenjaya
60,motomachi
61,shinjuku
62,tsukiji
63,kichijoji
64,izu oshima
65,ogasawara
66,akabane
67,gora
68,kamakura
69,minatomirai
70,ueno
71,takadanobaba
72,omotesando
73,okachimachi
74,kawasaki
75,nagatacho
76,iriya
77,sakuragicho
78,tonosawa
79,fujisawa
80,ninomiya
81,shinokubo
82,makuhari
83,saitama
84,hakone yumoto
85,koshu
86,jiyugaoka
87,ryogoku
88,utsunomiya
89,ochanomizu
90,tokyo
91,nihonbashi
92,jimbocho
93,tawaramachi
94,haneda
95,shinbashi
96,kappabashi
97,kagurazaka
98,omiya
99,chichibu
100,shiodome
101,daikanyama
102,azabu
103,denenchofu
104,ogikubo
105,kuramae
106,hongo
107,gunma
108,kawagoe
109,okutama
110,hayama
111,odaiba
112,nakameguro
113,narita
114,nikko
115,kinshicho
116,tsukishima
117,roppongi
118,kiyosumi shirakawa
119,oshiage
120,otemachi
121,yurakucho
122,ebisu
123,kanda
124,ikebukuro
125,marunouchi
126,maihama
127,harajuku
128,shimokitazawa
129,shibuya
130,ariake
131,tochigi
132,yokohama
133,semenanjung izu
134,nakano
135,nishi-kasai
136,hamamatsucho
137,chonan
138,ningyocho
139,minowa
140,ibaraki
141,mikata
142,tsujido
143,yotsuya
144,setagaya
145,takamatsu
146,kinugawa
147,azabujuban
148,mito
149,hibiya
150,nasu
